"channelId","customUrl","title","country","viewCount","subscriberCount","videoCount","madeForkids","creationDate"
"UCRKfUWzWYz_Ov9Tzg6CKpPA","@loonarasmr","Loonar ASMR","GB","1881866","22900","73","False","2019-07-09T13:30:28Z"
"UC4N_OQ8QZ-nkcpIHuv9GCrg","@liliaroseasmr","Lilia Rose ASMR","n/a","766837","6980","94","n/a","2022-01-11T18:15:43.069448Z"
"UCH9BjN898fIZLgF-IXnWbLA","@doniqueasmr","Donique ASMR","n/a","780137","12600","32","False","2021-06-07T18:03:00.874673Z"
"UCbQQXRLmYOR6teRNeflzPkg","@wolfdenasmr","Wolfden ASMR","GB","2178863","11000","360","False","2016-05-23T17:44:39Z"
"UCM6V8JiuWrof93vxSfRg3SQ","@asmrxanicx2075","ASMR Xanicx","GB","318349","5320","92","False","2021-02-11T15:40:20.652468Z"
"UC2eddeJoyByJBjE4CYXwNXQ","@heatherfeatherasmr","Heather Feather ASMR","n/a","184607073","527000","329","False","2012-09-20T04:37:19Z"
"UCAN0HUXQuf_DgYOL8YHjAfQ","@haleyjeanasmr","HaleyJean ASMR","US","27469220","161000","356","False","2017-01-29T22:30:24Z"
"UChYgwdcOSLMZ3oehFdaF88A","@avamukbang","AVA MUKBANG ASMR","KR","0","21600","0","n/a","2021-05-26T13:43:20.855486Z"
"UCspmH9IpXzbS8oezN11j0Cg","@adlipe","asmr adlipe","BR","94264004","561000","995","n/a","2016-05-28T17:00:14Z"
"UC54vWKYtTI9jwmlxey-x1Ug","@sokuushkaasmr7189","Sokuushka ASMR","n/a","1056864","7430","24","n/a","2020-04-03T21:06:15.48147Z"
"UCy6fT8oZ-TIwxMWG085wX7A","@lebaneseasmr","Lebanese ASMR","n/a","0","14800","0","False","2022-01-11T10:22:51.265693Z"
"UCsM8U6Lzr3rk-X87P9ixbZw","@asmrhusband","ASMR Husband","n/a","5695464","46100","55","n/a","2021-09-23T17:34:26.927417Z"
"UCNm92YwBeQToxxbdRtoUneQ","@hi-resasmr7678","Hi-Res ASMR","n/a","6047037","18200","18","n/a","2018-04-24T18:25:38Z"
"UCA_m01Qq_q3LZkIC4-pvVPQ","@assessmentasmr792","Assessment ASMR","US","314171","589","27","n/a","2021-03-17T16:33:04.352758Z"
"UCK2WF_j5XbP959-xIRtMvkA","@aminorasmr382","A Minor ASMR","n/a","1215","60","2","n/a","2022-05-29T23:37:08.866252Z"
"UC8Ot7lX2QLa2xdJT3ZUWKrg","@fightinglonelinessasmr6341","Fighting Loneliness ASMR","US","6244","74","14","False","2022-08-26T12:37:58.743162Z"
"UCpAwTOacF1hO3ccZIUodE7A","@asmrmirabelle","ASMR Mirabelle","DE","15784","491","14","False","2022-09-26T08:12:38.404229Z"
"UC1NS7fFbNan-GMp9CiKbCRQ","@pandysasmr8743","Pandy’s ASMR","n/a","429","17","3","n/a","2021-08-30T15:59:19.415517Z"
"UC3M-6q8FremlSy2TQtRm7LA","@asmrgoesoutdoors6490","ASMR Goes Outdoors","n/a","1828","57","5","n/a","2022-06-24T13:10:31.426432Z"
"UCt0y9jKwuR1gU0Xo7VZE3kQ","@asmr-reefie4588","ASMR-Reefie","n/a","3622","30","7","n/a","2017-03-14T17:37:36Z"
"UC6UIZiCnG8woaZbrt6JcxWA","@idunasmr1183","Idun ASMR","SE","27116","345","49","n/a","2020-08-11T21:26:27.311956Z"
"UCNGapdeWeT0x9eBJ7VC39DA","@asmrwales","ASMR Wales","GB","84503","695","249","False","2022-07-02T17:36:21.489319Z"
"UC2WiyBtAUP0TldJg3Y6iXbw","@asmrchess8942","Asmr Chess","n/a","11036","38","19","n/a","2018-08-03T01:45:01Z"
"UC0n-5CfBuCaOHJv6Uq6hElA","@lolasmr2774","lol asmr","n/a","2226","99","1","n/a","2020-05-25T19:40:05.958356Z"
"UC8bLWIDq1pRswUKl_8-R1Eg","@clashingasmr670","Clashing ASMR","n/a","3654","38","12","n/a","2021-01-08T20:14:25.521831Z"
"UC4lYWfdE_TqjJS8eiehsAvQ","@loliloasmr","Loli Lo ASMR","DE","46784","1730","7","n/a","2022-11-23T16:31:52.973688Z"
"UCnDpv9Qqg1OevPiCfcRnj8g","@passionflowerasmr","PassionFlower ASMR","GB","17572829","58200","744","False","2015-09-21T18:13:56Z"
"UCACUgSB4frctk2yYJ1HdvFA","@blakesasmr3584","Blake’s ASMR","n/a","2599","68","5","n/a","2020-05-21T15:34:18.571629Z"
"UCpH8fuBBLqsGqK-M2v_jvzg","@meatgrinderasmr260","MEAT GRINDER ASMR","CA","7488947","95700","18","n/a","2021-09-30T15:58:58.969114Z"
"UC40LALZ-1LsdzHuiemxq__w","@whisperinstorytellerasmr","whisperinstoryteller ASMR","GB","1445614","6240","166","n/a","2011-02-28T20:33:29Z"
"UCcFiT_9izwFXc-8kLj3Hy1Q","@sirimiriasmr","Sirimiri ASMR","GB","61602","1180","42","False","2022-10-22T08:46:49.038345Z"
"UCUVcGREcr1qKZPvedXPv4SA","@delicateasmr","Delicate ASMR","GB","252392","44500","1","False","2018-07-20T14:48:01Z"
"UCEF5M_NeQdQnFSCEHQ_msSw","@asmrbixby4472","ASMR Bixby","n/a","240","10","2","n/a","2021-08-25T11:22:31.23771Z"
"UCzeH_wCWfVAdlIsXNdNgmYw","@thecatspajamasasmr1972","The Cat's Pajamas ASMR","n/a","18083","371","8","n/a","2022-06-06T15:38:55.637861Z"
"UCdx_KdZCoQ4uCyf-syly53w","@angelaasmr8590","Angela ASMR","TH","529","187000","73","False","2017-06-30T07:10:07Z"
"UCf4_06bZa7IRbRpoEEFDfKA","@asmrwizard6251","ASMR Wizard","DE","572666","15100","59","False","2020-01-29T17:05:37.048822Z"
"UCyv1PVm82GSzvdC7RXmDytA","@fazband-asmr4796","Fazband-ASMR","n/a","2585","38","29","n/a","2020-09-17T16:20:55.039582Z"
"UCaLAPda_LYiO5WSxJseaIWQ","@ajourneyinlightasmrrelaxat5717","A Journey in Light ASMR & Relaxation","n/a","360","54","2","n/a","2022-08-26T12:53:47.034818Z"
"UCZGpGk69lM3kheau5hDJm_Q","@jupiterasmr","Jupiter ASMR","n/a","0","990","0","n/a","2015-02-10T23:13:56Z"
"UCJ8129URHdthxVdohUUMaNQ","@golfhittingsoundasmr","Golf Hitting Sound ASMR","JP","249183","737","74","False","2020-11-06T19:23:31.960748Z"
"UC-cAyUsxfuLfIFciEaH5CsQ","@asmrsleep4733","ASMR Sleep","n/a","31","2","2","n/a","2021-02-13T10:08:58.308976Z"
"UCKjL3jntK05KQ5U7Mvw7sGA","@smashcaffeineasmr7964","SmashCaffeine ASMR","n/a","5408","88","4","n/a","2022-06-30T14:36:57.913323Z"
"UCz4oC8X4eAhVTyMBeOmLF7w","@yuyuasmr","Yuyu ASMR","GB","181407","1620","328","False","2021-03-27T18:16:33.195114Z"
"UCamFysIQIp3g_7kEHWuqmwA","@ashmcclureasmr","ashmcclure asmr","US","2126176","10300","143","False","2017-07-14T04:33:21Z"
"UCMqiWXhUsh7lFruRpqKLCeA","@dylansasmr9772","Dylan's ASMR","n/a","5759","65","10","n/a","2019-09-25T14:19:52Z"
"UCVOq59xV5ZGrqHXcVpEy5DQ","@solzasmr9078","Solz ASMR","MY","41992","335","110","n/a","2018-05-18T08:20:41Z"
"UCUot-JAPYhr6iqa2EjYTLjQ","@dominicasmr1032","Dominic ASMR","n/a","4336","28","7","n/a","2017-01-04T14:27:30Z"
"UCxTinRsvbggybKR8MGVGqoQ","@thestraightdopeasmr","The Straight Dope ASMR","US","404","20","6","n/a","2017-03-03T00:04:16Z"
"UC-KXo1W_CKatJt4MK-wJQTQ","@asmrmistress9630","ASMR Mistress","n/a","442319","2830","174","False","2015-03-29T14:50:09Z"
"UCOqQlEi9d74dEJyglgfgIQA","@asmrcream8189","ASMR Cream","n/a","452111","8330","2","n/a","2017-03-09T23:42:49Z"
"UCjZBrIisiu8l4G8jWRcxebg","@asmrrelaxationmusicandsoun7739","ASMR Relaxation Music and Sounds","n/a","819","219","7","False","2022-08-08T00:38:07.316778Z"
"UCEJYsY6zMo5a8eLjL6SArHQ","@smallfeetasmr7298","Small feet ASMR","n/a","3940","30","9","n/a","2022-07-13T09:24:14.794961Z"
"UCbyMFyd873aPzy5fLZM8LIA","@celestialstarsasmr5883","celestial stars ASMR","US","26002","803","28","False","2020-03-20T23:03:43.714979Z"
"UC4UN6YpcqTn-csG8EsCKRYQ","@peyoteasmr6398","Peyote ASMR","GB","369","13","3","False","2020-03-01T00:40:53.050852Z"
"UCWFbetMt0c7WsbGEsS_ha9A","@wildlifeasmr","Wildlife ASMR","US","410095","20400","281","n/a","2020-01-07T00:38:39.25495Z"
"UCsyfCkq9WqGnI7H7bne7a7Q","@alfieasmr855","Alfie Asmr","n/a","1122","29","9","n/a","2020-09-26T18:40:26.365364Z"
"UC5nksznKmSJpt_j00DTyk-w","@alano305","ASMR Beezy","GB","213","14","3","False","2012-02-27T21:40:56Z"
"UCYprBGsqzUX5WWX2PH0YwQg","@mike_asmr","Mike ASMR","n/a","42","7","1","n/a","2022-11-11T14:02:30.610046Z"
"UC_2iXHJHHbyk9VlvDjPD0SQ","@olaasmr3028","Ola Asmr","n/a","647","10","6","n/a","2019-03-06T22:06:31Z"
"UCPIb7afOkHylh5y9d48tesw","@user-tg4db1yu7t","深夜朗读ASMR","n/a","409","12","1","n/a","2019-11-28T07:05:23.457562Z"
"UCO2F4bMil355432McpY1B9w","@ss.439asmr","sajid Khan ASMR","PK","741","20","12","n/a","2021-10-27T18:56:10.97363Z"
"UChtof34pRLunBIUVB74kT2A","@genieasmr1973","Genie Asmr","n/a","629","15","2","n/a","2020-04-20T16:11:46.608713Z"
"UCwAI9k4N1pm7IlX8yvXnStQ","@wonderlisa","wonderlisa ASMR","LV","20192372","80000","246","False","2018-01-20T12:31:15Z"
"UCVNXMceGFgH7o0chLWkahRg","@909aj3","909aj3 ASMR","n/a","236","2","6","n/a","2020-03-28T14:16:36.194832Z"
"UC3mwle0ScXDIxH-C0YlmiAw","@aledsasmr39","Aleds ASMR","n/a","388","20","2","n/a","2018-10-08T15:05:15Z"
"UCV7oGCRAyW_e9790aPYlsYA","@takashisan_asmr","Takashi ASMR","n/a","659794","8180","148","n/a","2021-05-16T21:39:09.095827Z"
"UCEBCrgB4fIe8tOuir-ujsNg","@treysasmr5247","Trey’s ASMR","n/a","0","44","0","n/a","2021-12-25T21:56:10.771363Z"
"UCPXN_MkfIz6CWM23OQpY1XA","@soundboxasmr","SoundBox ASMR","US","58232","660","26","False","2022-03-19T18:33:15.02357Z"
"UCmxGNOHPDo4jlO29mw9yD0Q","n/a","ASMR SOUND - Topic","n/a","401","0","51","n/a","2022-03-23T17:29:10.363149Z"
"UCqK0f9txUmkC3EZO7hL267A","@anstersasmr9878","Ansters Asmr","GB","10660","56","18","False","2021-02-27T20:20:12.560264Z"
"UCq7rPLdQQ7mH4GAkqo3Xs5A","@glittertingleasmr1631","GlitterTingle ASMR","GB","13022","75","3","n/a","2015-12-14T18:57:27Z"
"UCNhX6gP7YG57IbY_kSV_4rA","@animacaoasmr7834","animação ASMR 動畫片","n/a","122402","350","40","False","2022-05-09T13:30:50.038953Z"
"UCEukhzXMY8L5YZnZFG3zIiQ","@asmr-jamie6432","ASMR-Jamie","n/a","3182","35","2","n/a","2021-12-08T14:38:50.808455Z"
"UCw8K7RvRTcPIEl3AAKDaSjg","@asmrvideo4","asmr creator 크리에이터","US","14876","35","42","n/a","2022-12-29T05:11:23.26674Z"
